,type_id,item_name,buy_total_qty,buy_ct,buy_mean_value,buy_std,buy_pd,sell_total_qty,sell_ct,sell_mean_value,sell_std,sell_pd,margin_pu,profit_pu,profit_pd,wip_pd,rare
0,48082,Men's Triglavian Survival Suit (Bioadaptive),9,97.47458333,3225971881,408739921.7,0.246218031,8,115.4710317,4086000000,845334591.4,0.207844337,0.266595045,860028119.3,178751974,1.333596466,0
1,28678,Synth Frentix Booster,33,90.99869886,720036.8767,50.05097149,0.263740035,34,89.58247396,1822220.396,423606.6944,0.267909547,1.530732042,1102183.519,290689.9196,-16.94646095,0
2,35949,Standup Focused Warp Disruptor I,46,17.13911416,18792480.9,2234682.176,1.400305744,35,27.46473128,21210878.41,2884984.212,0.873847982,0.128689635,2418397.507,2113311.781,2.324316282,0
3,47918,Heavy Entropic Disintegrator II,12,73.40150206,76740012.39,31783448.81,0.326968786,12,86.67947531,107376996.6,33609588.65,0.276882156,0.3992309,30636984.23,8482834.245,1.807504771,0
4,601,Ibis,437,1.715473057,31210.98628,10467.35033,13.99031008,625,6.290237099,93468.87667,25977.82201,3.815436465,1.994742808,62257.89039,237541.0252,5.246172214,0
5,13220,Inherent Implants 'Lancer' Medium Energy Turret ME-803,8,249.6542593,3437812.84,1163457.934,0.096132948,9,38.00229167,7221975.491,526881.5716,0.631540861,1.10074714,3784162.651,363782.7125,-0.113393701,0
6,46521,Stratios Spectral Shift SKIN (Permanent),41,25.89440198,10082559.4,3415010.249,0.926841254,45,24.978193,14291967.39,3107460.084,0.96083812,0.417493993,4209407.989,3901452.979,-26.1948971,0
7,46522,Nestor Spectral Shift SKIN (Permanent),24,36.12111111,2014819.49,931260.7787,0.664431388,46,66.03498653,3917291.949,2548050.778,0.363443703,0.944239655,1902472.459,691441.6345,0.802303268,0
8,28800,Mid-grade Nomad Gamma,21,24.91113591,205926012.9,43613153.11,0.963424554,8,103.7390873,285387475.1,138831231.9,0.231349635,0.385873844,79461462.24,18383380.3,0.304460532,0
9,31486,Medium Energy Locus Coordinator II,173,4.319529307,2352947.058,126830.7811,5.556160936,108,6.188310725,3539800.443,20401.8024,3.878279722,0.504411428,1186853.385,4602949.417,12.84259345,0
10,31626,Small Warhead Calefaction Catalyst II,66,26.91420428,2648861.766,96069.94552,0.891722443,66,24.61371411,3668340.301,137026.7153,0.975066172,0.384874193,1019478.534,909091.8896,-10.43255923,0
11,47680,Pacifier SARO 'Black Troop' SKIN (Permanent),4,40.17333333,92517500.78,3014999.5,0.597411218,3,38.02083333,129010010.4,28270114.45,0.631232877,0.39443899,36492509.57,21801034.59,-11.14982578,0
12,47683,Marshal SARO 'Black Troop' SKIN (Permanent),4,25.51509259,720050000,93352432.57,0.940619749,3,2.595,750000000,1.46E-07,9.248554913,0.041594334,29949999.92,28171561.42,-1.047116189,0
13,47868,Precursor Cruiser,76,9.885529202,39010665.34,4662789.682,2.427791119,70,12.48618607,50984252.68,10444330.53,1.922124168,0.306931124,11973587.34,23014721.6,9.228437756,0
14,36913,Abaddon Blood Raiders SKIN (Permanent),34,25.33142503,1005698.728,181392.0285,0.94743979,30,27.48128205,3110682.593,2224943.359,0.873321701,2.093056109,2104983.866,1838328.091,11.16353308,0
15,15462,Strong Frentix Booster,71,12.21794676,18184464.66,115926.9019,1.964323505,16,14.65580247,25012500,165201.9012,1.637576656,0.375487289,6828035.331,11181431.27,9.844717184,0
16,47911,Entropic Radiation Sink II,244,9.34580101,3255655.414,1462260.053,2.567998182,134,10.01622573,6568954.783,2751470.695,2.396112133,1.017705791,3313299.369,7939036.82,35.7982027,0
17,37600,Women's Genolution Combat Suit,92,15.93149895,1388555.941,29050.78989,1.506449586,81,14.54794599,3008189.5,709433.9812,1.649717425,1.166415778,1619633.559,2439896.305,-17.3466436,0
18,48148,CreoDron 'Yellowjacket' Drone Tuner D5-10T,71,8.128874848,196612180.1,77339377.95,2.952438123,67,12.01052935,235119553.2,105780336.3,1.998246646,0.195854464,38507373.11,76947229.18,6.182930491,0
19,10244,Zainou 'Gypsy' Signature Analysis SA-703,2,0,18352227.03,,0,2,9.846111111,22033434.49,14176.798,2.437510579,0.200586417,3681207.46,8972982.129,2.437510579,9
20,47636,Vagabond Capsuleer Day XV SKIN (Permanent),7,85.196875,8061621.084,1817004.205,0.281700473,12,86.62610082,9066789.815,5606226.738,0.277052756,0.124685683,1005168.731,278484.7675,16.79230784,0
21,3125,Zainou 'Deadeye' Guided Missile Precision GP-802,42,33.44190424,5333349.177,577350.4395,0.717662482,13,59.98734848,9053819.709,571632.6324,0.400084361,0.697586153,3720470.532,1488502.076,0.90410994,0
22,45840,Basilisk Exoplanets Hunter SKIN (Permanent),12,3.789583333,3342832.787,2870296.078,6.333150082,2,117.9144444,3599997.08,848532.1255,0.203537405,0.07693005,257164.2933,52342.55285,0.210295984,0
23,41332,Conflagration XL,163,4.955805806,1670050.515,42354.96787,4.842804771,60,26.54604519,2466373.542,1187261.026,0.904089473,0.476825712,796323.0267,719947.2655,1.111613428,0
24,47822,Unstable Small Energy Neutralizer Mutaplasmid,9,79.46461806,46127893.71,1928861.747,0.302021209,6,67.60228395,79316298.48,23520994.94,0.355017591,0.719486673,33188404.77,10023602.12,-2.023210591,0
25,47775,Unstable Large Armor Repairer Mutaplasmid,5,155.5730556,625863420.3,65601409.15,0.154268359,3,283.9636111,821598265.5,88041510.26,0.084517872,0.312743705,195734845.2,16543092.5,0.186929637,0
26,47286,Men's SARO 'Black Troop' Combat Suit,2,0.279166667,336308000,0,85.97014925,2,9.400277778,374999998.9,0.007071061,2.553116043,0.115049297,38691998.93,98785163.18,2.631258375,0
27,47682,Monitor SARO 'Black Troop' SKIN (Permanent),8,15.04781746,16082500.01,1800720.094,1.594915679,5,17.0037963,44749999.98,9500000.005,1.411449513,1.782527589,28667499.97,40462728.87,12.27007141,0
28,31962,High-grade Talon Alpha,4,337.0660417,22316683.14,4604339.957,0.071202664,2,761.2641667,35905530,18392527.56,0.031526507,0.608909791,13588846.86,428408.8743,0.056577336,0
29,15458,Improved X-Instinct Booster,11,33.98847222,3607231.462,4026.058282,0.706121765,3,186.8638889,10994994.46,1407134.723,0.12843573,2.048042403,7387762.993,948852.7339,0.156990578,0
30,47701,Gravid Stasis Webifier Mutaplasmid,14,48.27134549,170231753.2,67784536.01,0.497189373,10,49.23555556,176508207.2,59518580.03,0.487452609,0.036870054,6276454.012,3059473.882,24.89084149,0
31,30753,Malfunctioning Hull Section,38,28.19239321,4365327.124,557837.1366,0.851293461,40,32.1591412,5063350.43,452665.5207,0.746288586,0.159901718,698023.3061,520926.8258,6.050296117,0
32,23128,Yan Jung Crystal Cylinder,33,27.6645668,8151862.09,238089.8272,0.867535724,40,30.42056818,43948845.56,158317162.7,0.788939899,4.391264606,35796983.47,28241668.54,8.70826849,0
33,47827,Gravid Medium Energy Neutralizer Mutaplasmid,16,26.12261752,18084912.23,4677314.469,0.918744072,8,91.30492063,24014833.03,5239983.875,0.262855494,0.327893259,5929920.801,1558712.26,0.368198098,0
34,47772,Gravid Medium Armor Repairer Mutaplasmid,11,71.32566358,92170105.23,8970825.737,0.336484777,7,60.1018287,120380020,27715145.36,0.399322292,0.306063606,28209914.75,9492206.872,-2.138306583,0
35,25956,Large Ancillary Current Router I,18,40.99551768,10283334.08,180069.8083,0.585429856,18,29.30163889,11904478.55,88772.96978,0.819066814,0.157647749,1621144.469,949066.3725,-2.052355804,0
36,47632,Ishtar Capsuleer Day XV SKIN (Permanent),11,62.61996296,25750000.54,6499999.535,0.38326436,12,112.2450794,29333711.46,4959568.603,0.213817836,0.139173237,3583710.922,766261.3152,0.48362607,0
37,47348,Standup Signal Amplifier II,1,0,30001001.6,,0,1,0,173800000,,0,4.793139919,143798998.4,143798998.4,0,-10
38,47376,Stratios One Eden SKIN (Permanent),0,0,,,0,1,0,423999997,,0,,,,-1,-10
39,31954,High-grade Grail Alpha,26,25.43303175,19833338.27,408250.7392,0.943654702,23,18.90199495,23978217.88,2679608.166,1.269707249,0.208985474,4144879.608,3911335.132,-3.674761106,0
40,47826,Unstable Medium Energy Neutralizer Mutaplasmid,8,92.25988095,120700196.3,53404224.88,0.260134738,7,88.91800926,168257028.3,94104266.07,0.269911576,0.39400791,47556832.03,12371184.06,-7.181604264,0
41,47287,Women's SARO 'Black Troop' Combat Suit,6,7.492932099,164368797,9262406.037,3.203018482,0,0,,,0,,,,-3.203018482,-19
42,36817,Stabber Blue Tiger SKIN (Permanent),6,25.36354167,607000.765,0.035355339,0.946240092,0,0,,,0,,,,-0.946240092,-19
43,27109,Zainou 'Snapshot' Heavy Assault Missiles AM-703,62,31.52630496,19317017.66,407726.3985,0.761269043,37,24.08936869,25992870.76,4041888.205,0.996290119,0.345594398,6675853.1,5082120.299,-3.227135357,0
44,47914,Light Entropic Disintegrator II,3,336.7156944,27537008.59,3378748.9,0.071276749,3,379.8155556,48650316.65,9529338.14,0.063188565,0.766724824,21113308.06,1334119.643,0.556846342,0
45,31282,Medium Ionic Field Projector II,10,0.443174603,13000000.04,0,54.15472779,3,5.215555556,27954983.98,8.449926035,4.601619088,1.150383376,14954983.94,68817139.54,5.02893634,0
46,47923,Supratidal Veles Entropic Disintegrator,50,20.61861547,34160760.55,11984262.92,1.163996682,43,17.37157651,40769876.85,13544040.79,1.381567182,0.193470994,6609116.305,7692989.453,-7.391349572,0
47,17180,Sensor Dampening Battery,29,38.74562346,2500000.516,0.256459873,0.619424798,42,26.4266808,3994849.902,341009.7625,0.908173076,0.597939631,1494849.385,925946.7792,-1.948219151,0
